id,Year,Month,Day,Open,High,Low,Close,Volume,K,D,J,MACD,MACD_Signal,MACD_Hist
,,,,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW,,,,,,
0,2023,9,1,543.0,553.0,543.0,552.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,2023,9,1,552.0,552.0,550.0,551.0,1624706,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,2023,9,1,550.0,551.0,549.0,550.0,1672668,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,2023,9,1,550.0,551.0,549.0,549.0,870507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,2023,9,1,550.0,550.0,548.0,550.0,1708289,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,2023,9,4,549.0,553.0,549.0,553.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,2023,9,4,552.0,556.0,552.0,556.0,2344422,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,2023,9,4,556.0,556.0,555.0,556.0,906051,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,2023,9,4,555.0,556.0,554.0,556.0,1150651,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,2023,9,4,555.0,556.0,555.0,555.0,1450560,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,2023,9,5,553.0,555.0,550.0,552.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,2023,9,5,552.0,552.0,550.0,552.0,1488546,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,2023,9,5,552.0,553.0,551.0,552.0,1577934,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,2023,9,5,552.0,552.0,551.0,551.0,819653,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,2023,9,5,551.0,553.0,551.0,553.0,1171039,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,2023,9,6,556.0,556.0,551.0,552.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,2023,9,6,552.0,554.0,551.0,552.0,1419167,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,2023,9,6,553.0,553.0,551.0,552.0,880949,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,2023,9,6,553.0,553.0,551.0,552.0,977817,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,2023,9,6,551.0,552.0,550.0,551.0,2076452,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,2023,9,7,546.0,548.0,545.0,546.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,2023,9,7,545.0,546.0,544.0,544.0,3102637,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,2023,9,7,545.0,545.0,544.0,544.0,1442252,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,2023,9,7,544.0,545.0,542.0,542.0,4800921,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,2023,9,7,542.0,544.0,542.0,543.0,1584164,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,2023,9,8,535.0,538.0,535.0,537.0,0,8.177749143878447,6.956801958070345,10.619643515494651,-2.89145225601294,-1.4548824454275797,-1.4365698105853602
26,2023,9,8,537.0,539.0,536.0,538.0,1952902,12.422207905272556,9.68950493167145,17.887613852474765,-3.290614808244868,-1.8220289179910374,-1.4685858902538307
27,2023,9,8,539.0,539.0,538.0,539.0,1102717,17.975809834989217,13.832657383330334,26.26211473830698,-3.486077037962218,-2.154838541985274,-1.3312384959769443
28,2023,9,8,538.0,540.0,538.0,539.0,1655600,24.372520302109994,19.102588842720163,34.91238322088966,-3.5994895878778834,-2.443768751163796,-1.1557208367140874
29,2023,9,8,538.0,539.0,538.0,538.0,2090802,25.82262378741863,22.462606315069397,32.5426587321171,-3.7270978296879775,-2.7004345668686325,-1.026663262819345
30,2023,9,11,539.0,539.0,536.0,537.0,0,22.911311893709318,22.68695910438936,23.360017472349227,-3.8643738273489134,-2.9332224189646885,-0.9311514083842249
31,2023,9,11,538.0,538.0,536.0,538.0,2334047,26.45565594685466,24.57130752562201,30.22435278931995,-3.8481157192217097,-3.116201079016093,-0.7319146402056167
32,2023,9,11,538.0,538.0,536.0,537.0,1783335,24.33893908453844,24.455123305080225,24.106570643454866,-3.871296794401701,-3.267220222093215,-0.604076572308486
33,2023,9,11,537.0,538.0,536.0,538.0,1302616,42.16946954226922,33.312296423674724,59.88381577945822,-3.7655691832816274,-3.3668900143308975,-0.39867916895072986
34,2023,9,11,538.0,538.0,537.0,537.0,1370347,33.584734771134606,33.448515597404665,33.85717311859449,-3.7195937707713256,-3.4374307656189833,-0.28216300515234227
35,2023,9,12,536.0,538.0,536.0,538.0,0,41.7923673855673,37.620441491485984,50.13621917372994,-3.561412535661816,-3.46222711962755,-0.099185416034266
36,2023,9,12,537.0,542.0,537.0,542.0,2576258,70.89618369278365,54.258312592134814,104.17192589408131,-3.077807151622551,-3.3853431260265503,0.3075359744039994
37,2023,9,12,542.0,543.0,541.0,543.0,1358679,85.44809184639183,69.85320221926332,116.63787110064885,-2.5840672393225077,-3.225087948685742,0.6410207093632341
38,2023,9,12,543.0,543.0,541.0,543.0,1522001,92.72404592319592,81.28862407122962,115.59488962712848,-2.1677859149926917,-3.013627541947132,0.8458416269544404
